Report_ID,Event_Date,Age,Nature,Establishment,Summary,Degree
0627700,12/31/2017,50,Other,"Ada Energy Service, Llc","At 9:30 a.m. on December 31, 2017, an employee was preparing transport trucks  and trailers for a trip to retrieve oil field equipment.  The employee  assisted with airing the tires on the trucks and trailers as well as loading  pneumatic hand tools with chain straps for securing loaded items.  The  employee was caught in between the trailer beds and grabbed hold of the bumper  or trailer frame when one of the trucks started to move.  The employee fell  from the trailer and was run over by the trailer's tires, crushing him.",Fatality
0627700,12/30/2017,28,Fracture,"H.L. Morris Farms, Inc.","At 11:00 a.m. on December 30, 2017, an employee was near a loading station  when a coworker entered a truck to haul off a load of product.  The equipment  operator began mixing the product, swung the machine around, and noticed the  employee's hard hat on the ground in the rearview mirror.  The employee  suffered severe trauma to their head and upper torso and was killed.",Fatality
0627700,12/21/2017,35,Fracture,Ricks Well Service Llc,"At 10:45 a.m. on December 21, 2017, an employee was performing oil and gas  work-over operations while on a drilling derrick.  The employee fell from the  work-over rig when it was struck by a drilling derrick, killing the employee.",Fatality
0950647,12/04/2017,21,Fracture,Applied Technologies Associates,"At 11:40 a.m. on December 4, 2017, an employee was standing on the roof of a  building to clean its gutters. During work, the employee slipped and fell from  the roof and fell 8.75 feet. He sustained fractures to his hip and wrist,  which he was hospitalized and received treatment.",Hospitalized injury
0626300,11/28/2017,30,Concussion,"Southern Petroleum Laboratories, Inc.","At 12:18 p.m. on November 28, 2017, Employee #1 was checking an equipment  malfunction on a high volume separator. The employee fell to the ground and  struck his head. He was hospitalized for his injury.",Hospitalized injury
0627700,11/27/2017,35,Fracture,"Universal Pressure Pumping, Inc. ","At 3:15 p.m. on November 27, 2017, Employee #1 was opening a ball valve on a  transducer. The steel piping for the transducer blew out of the flange and  struck the employee in the chest, killing him.",Fatality
0626000,11/27/2017,56,Other,"Allied Horizontal Wireline Services, Llc","On November 27, 2017, Employee #1 was cleaning the discharge guns in a  trailer. The employee was found unconscious on the ground near the trailer  where he worked after he used the restroom. The cause of death was deemed a  heart attack by the justice of the peace.",Fatality
0627510,11/17/2017,50,Other,"Dover Artificial Lift Systems, Llc","At 3:30 p.m. on November 17, 2017, an employee was performing startup of an  oil well.  The pressure from the start-up caused a valve to rupture, striking  the employee. The employee was killed.",Fatality
0830500,11/16/2017,61,Burn/Scald(Heat),"Complete Energy Services, Inc. ","At 3:25 p.m. on November 16, 2017, two employees were involved in the removal  of hydrate formation (blockage) in gas piping leaving PDC Energy tank battery,  performing a single side blow down to dislodge hydrate formation.  A hose was  connected to a vac truck off the pig launcher line.  Pressure from the  upstream side of blockage pushed natural gas/NG fluids to the vac truck.  One  of three hatches on top of vac truck tank opened for venting of gases/vapors.  One employee was at pig launcher valve to control flow of gases/liquids to vac  truck.  Flammable gases or vapors were ignited and flash fire resulted.  Three  workers were engulfed in flames. One pickup truck cab and engine compartment  were destroyed.  One employee died on November 22, 207, 6 days after  sustaining burns, and a second employee died January 1, 2018, 46 days after  sustaining burns.",Fatality
0830300,11/15/2017,30,Fracture,"Tiger Well Service, Llp","At 5:15 p.m. on November 15, 2017, an employee was working from the platform  of a servicing rig while tripping out pipes from the bore hole of an oil and  gas well. The platform of the rig was approximately 15 feet from ground level  and had a guard rail system with a gate that was open during the operation.  The employee was holding a pipe while on the servicing platform and, when the  pipe was jerked away, the employee was pulled off the platform and fell 15  feet.  The employee suffered multiple fractures to his skull and one of his  legs.  The employee was hospitalized.",Hospitalized injury
0524530,11/14/2017,33,Burn/Scald(Heat),Precision Plugging & Sales Inc.,"At 12:30 p.m. on November 14, 2017, a 3 person crew was returning the well to  service following repairs to a wellbore casing nipple that was performed by a  welding contractor.  A welding contractor repaired a crack on the casing  nipple of the oil well and then departed.  The three person crew had set a  ""packer"" on the oil well to prevent oil and hydrogen sulfide from escaping.  Thirty barrels of salt water was inserted on top of the packer.  After the  crew pulled the ""packer"" out, oil and gas started discharging from the well.  At that time, hydrogen sulfide monitors located in a portable steel structure  used for tools, as a lunchroom, and as an office & referred to as the Doghouse  were activated and an alarm was triggered.  The ""Doghouse"" was located  approximately 60 feet from the well. The crew realized there was a propane  heater with a pilot light burning in the Doghouse. One of the employees ran to  turn off the propane tank outside the structure while another ran inside the  Doghouse.  The wind blew the hydrogen sulfide into the Doghouse which found an  ignition source, presumably the pilot light, and a fire erupted. The employee  was wearing flame retardant clothing; However, due to the intensity of the  fire, it did not prevent injury. The employee died November 16, 2017, as a  result of burn injuries.",Fatality
0522500,11/12/2017,59,Concussion,"Bj Services, Llc","At 3:15 a.m. on November 12, 2017, a crew of employees were assigned the task  of flushing out the hose between the high pressure manifold trailer and the  pump truck after the pump truck had been shut down during a fracking stage.  The truck was not pumping properly and was turned off to prevent further  damage. The discharge line from the manifold had a blockage that prevented the  sand/water mixture from flowing to the pump. Employees split a hammer union in  the middle of the hose to investigate the section of hose that was obstructed  and determined that it was the hose attached to the manifold. The employees  pressurized the manifold and hose up to a pressure of approximately 80 p.s.i.,  and begun striking the hose with a hammer and sticking a rod up the end of the  hose to break up the blockage of sand when a rapid release of energy projected  sand from the hose and caused the hose to move and whip. An employee was  standing on the unsecured hose to keep it from moving. The movement of the  hose caused the employee to loose balance and the employee was struck in the  head by the hose. The employee was transported by EMS to a hospital where he  later died from the blunt force trauma injury sustained to the head.",Fatality
0626600,11/11/2017,63,Other,"National Oilwell Dht, L.P.","On November 11, 2017, an employee was walking in a hallway in an office  setting.  The employee tripped, fell, and sustained blunt force trauma to the  head.  The employee died 21 days later.",Fatality
0950641,11/11/2017,31,Amputation,"Yellow Jacket Drilling Services, Llc","At 5:30 p.m. on November 11, 2017, Employee #1 was working on a water drilling  rig. As he was tripping the tooling from a drill hole, using a wrench to free  up a tremie, Employee #1's pinky finger tip became pinched between the piping  and was amputated. Employee #1 was hospitalized and received treatment.",Hospitalized injury
0830500,11/10/2017,28,Amputation,"Cade Drilling, Llc","At 6:30 a.m. on November 10, 2017, Employee #1 was using an incorrect hoisting  device to hoist up into the rig derrick. The employee caught his foot between  two braces and could not shut the hoist off, resulting in the amputation of  his left big toe. Employee #1 was hospitalized for his injury.",Hospitalized injury
0317700,11/10/2017,28,Fracture,Consolidated Wellsite Services Llc,"At 3:00 p.m. on November 10, 2017, Employee #1 was using a power swivel to  make a drill pipe connection on a work over rig. The elevators that were  supporting the pipe started to spin. The employee's gloved hand was caught by  the spinning elevators, resulting in a finger amputation and multiple  fractures to his arm. Employee #1 was hospitalized for treatment.",Hospitalized injury
0627500,11/09/2017,42,Concussion,"Sandbox Transportation, Llc","At 1:30 a.m. on November 9, 2017, an employee was standing and counting the  staged sand boxes.  An industrial forklift truck going in reverse ran over the  employee.  The employee was killed by blunt force impacts to the head, torso  and extremities.",Fatality
0830500,11/05/2017,31,Amputation,Cartel Drilling Llc,"At 1:00 p.m. on November 5, 2017, an employee was picking up a mud motor to  trip in the hole.The employee was struck by a top drive plate when it fell off  the top drive 30 feet above the rig floor.The employee amputated his right  hand's index finger and was hospitalized.",Hospitalized injury
0418800,11/03/2017,45,Burn/Scald(Heat),"Leader D.O.T. Services, Inc.","ON November 3, 2017, an employee was using an oxygen-acetylene torch to loosen  valve studs on the belly of a fuel tanker.  The employee was caught in an  explosion when the fuel vapors that were in tanker ignited and suffered first,  second, and third degree burns to his hands, chest, face, and head.  The  employee was hospitalized.",Hospitalized injury
0855610,11/03/2017,28,Fracture,"Nabors Drilling Technologies Usa, Inc.","At 7:30 p.m. on November 3, 2017, an employee was putting a rack back in a  stand against a fingerboard and the swivel got tangled up on a Kelly hose  clamp, placing tension on a tugger line.  The stand came out of a mousehole  and fell, landing on the employee's left foot and amputating the employee's  big toe from his left foot.  The employee was hospitalized.",Hospitalized injury
0627700,11/02/2017,28,Fracture,T & L Well Service,"At 5:00 p.m. on November 2, 2017, an employee was picking up trash around an  oil pumping unit. The employee was struck by a counterweight from the pumping  unit and suffered broken legs and ribs.  The employee was hospitalized.",Hospitalized injury
0950625,11/01/2017,24,Cut/Laceration,Ensign United States Drilling,"At 6:00 am on November 1, 2017, an Employee #1 was attempting to deposit a  threaded cap protector in a trash can between the iron roughneck and stacks of  drill pipe. The iron roughneck swung out and the control box on the side, hit  the left side of Employee #1's head, resulting in severe laceration to  Employee# 1's left ear.",Hospitalized injury
0830500,10/30/2017,60,Cut/Laceration,Summit Oilfield Services,"At 12:00 p.m. on October 30, 2017, Employee #1 was using a slick line oil  operation to retrieve tools. The slick line parted, and the employee was  struck in the neck. The employee sustained a laceration to his neck and was  hospitalized for treatment.",Hospitalized injury
0626000,10/23/2017,22,Burn/Scald(Heat),Advantek Waste Management Services Llc,"At 8:00 p.m. on October 23, 2017, an employee was standing at a shaker table  and washing off with a water pump.  The employee suffered first degree burns  to his face and right hand when he was struck by a flash arc.  The employee  was hospitalized.",Hospitalized injury
0830500,10/20/2017,21,Other,Helmerich & Payne International Drilling Co.,"At 6:15 p.m. on October 20, 2017, an employee was watching the BOP being  lowered into position and the employee placed his hand on top of the BOP  flange.  The employee's hand was crushed when the stud was hung up and  bottomed out on the pipe ram body. The employee amputated his left middle  finger and was hospitalized.",Hospitalized injury
0830500,10/19/2017,35,Fracture,"Ranger Energy Services, Llc","At 10:30 a.m. on October 19, 2017, an employee was picking up several pipe to  drill out plugs and the angle of the pipe wrangler was not set properly.  The  employee put his hand in the wrong area and the cables of a fast line elevator  wrapped around his fingers, partially amputating his middle finger.  No  hospitalization was required.",Non Hospitalized injury
0950647,10/17/2017,27,Other,"Ensign United States Drilling (California), Inc.","At 8:00 p.m. on October 17, 2017, an employee was working outdoors with a crew  tripping pipe on an oil drilling rig. The employee vomited at approximately  7:00 p.m. but did not report it to anyone. The employee  switched batteries  between a generator and a pump. The employee finished switching batteries at  8:00 p.m. and began to get leg cramps, which forced the employee to sit down  and stretch his legs. The employee vomited again. The temperature was 72  degrees Fahrenheit. The rig manager was on site in the trailer and was  notified. The rig manager took the employee to Memorial Occupational Medicine  clinic. The employee was transferred from the clinic to a hospital. The nature  of the employee's illness is uncertain.",Hospitalized injury
0626600,10/16/2017,52,Fracture,"Radco Management, Llc","At 3:30 p.m. on October 16, 2017, Employee #1 was working to unpin the floor  of a rig for removal. A cat-line was attached to a cable raising up the rig  floor, which snapped and released the rig floor. The floor was struck in the  back and became pinned for approximately 10 seconds. Employee #1 sustained a  spinal fracture and was hospitalized.",Hospitalized injury
0627700,10/16/2017,56,Cut/Laceration,"Bj'S Oilfield Construction, Inc.","At 10:09 a.m. on October 16, 2017, an employee was serving as a spotter for a  trencher operator. During work, the employee became caught in the rotating  chain drive of the trencher. He suffered multiple cuts and other injuries,  resulting in his death.",Fatality
0626000,10/08/2017,51,Fracture,"Legend Energy Services, Llc","At 6:30 p.m. on October 8, 2017, an employee was descending a four rung fixed  ladder of a tractor trailer. The employee slipped, lost his footing, and fell  approximately 4 feet to the ground, sustaining a broken leg and ankle.",Hospitalized injury
0627700,09/30/2017,51,Burn/Scald(Heat),Stevens Tanker Division Llc,"At 8:00 a.m. on September 30, 2017, an employee was cutting off valve bolts on  rear of tanker truck.  The tank had not been vented and the cutting torch  ignited flammable vapors.  The employee suffered second degree burns to his  abdomen and was hospitalized.",Hospitalized injury
0830100,09/29/2017,32,Burn(Chemical),"Continental Resources, Inc.","At 3:45 p.m. on September 29, 2017, an employee was adding scale remover to  the system and relieved the pressure on a hammer union.  The employee was  struck by some scale remover when the pressure shot it into the employee's  face and onto his body.  The employee suffered multiple chemical burns to his  face and body and was hospitalized.",Hospitalized injury
0626600,09/27/2017,22,Concussion,Vertex Energy,"At 10:00 a.m. on September 27, 2017, an employee was filling a tanker trailer  with used oil and it started to build up pressure due to a relief valve  malfunction. The employee tried to open the dome hatch on top of the trailer  and it blew open, knocking him off the ladder mounted to the side of the  trailer. The employee suffered a head and neck injury.  The employee was  hospitalized.",Hospitalized injury
0950624,09/24/2017,28,Fracture,Ethos Energy Field Services,"At 11:00 a.m. on September 24, 2017, Employee #1, a millwright, was  troubleshooting a pipe plug failure. The employee was struck in the arm,  causing a fracture. He was hospitalized for his injury.",Hospitalized injury
0830500,09/24/2017,30,Amputation,Ensign Well Services,"At 8:15 p.m. on September 24, 2017, Employee #1 and a coworker were pushing a  pipe joint manually onto a pipe wrangler. The employee had his hand on the  pipe rack when the 30 foot, 240 pound pipe joint fell back onto his hand. The  employee sustained a partial amputation to his left ring finger.",Hospitalized injury
0316400,09/16/2017,54,Burn/Scald(Heat),"Well Service Group, Inc.","At 11:00 a.m. on September 16, 2017, two employees were using a Demtech  Dematcker hot air gun to weld plastic liner pieces together inside the diked  area of a natural gas tank farm. The condensate ignited when the vapors  contacted the heat gun. Employee #1 sustained third degree burns to 56% of the  body and Employee #2 sustained third degree burns to the hands.",Hospitalized injury
0316400,09/16/2017,45,Burn/Scald(Heat),"Jay Bee Oil And Gas, Inc.","At 11:00 a.m. on September 16, 2017, an employee was assisting coworkers patch  and repair a dike liner. Flammable condensate leaked out and the vapors were  ignited by an unapproved Dem Tech Demtacker heat gun that was used inside the  diked area. The employee sustained third degree burns.",Hospitalized injury
0627510,09/10/2017,40,Other,Sendero Drilling Compnay Llc,"At 8:00 a.m. on September 10, 2017, an operator was tripping out a hole  pulling pipe. During work, the operator inadvertently placed too much pressure  on the block and the cable broke. A piece of metal sliver and rope struck the  employee in the leg. No specific injuries were listed in the report.",Hospitalized injury
