Event_Date,Report_ID,Summary
12/28/2017,0316400,"At 1:00 p.m. on December 28, 2017, an employee was standing outside his truck  while putting on his personal protective equipment when he was caught between  his truck and an excavator.  The excavator was carrying a section of pipe up a  hill and started to slide downhill at an angle going towards the employee's  truck.  The employee was struck by the pipeline before the excavator struck  the truck and he fell to the ground.  The employee was killed at the scene  from crushing injuries."
10/18/2017,0950621,"At 1:14 p.m. on October 18, 2017, Employee #1 and Coworker #1, employed by a  pipeline company, were working at an excavation alongside a busy road.  Employee #1, the site foreman, was inside a 5-foot excavation and overseeing  the work crew's digging around gas pipes.  The bucket of a backhoe truck was  inside the trench and being used to load dirt for removal.  Coworker #1, the  backhoe truck operator, was in his vehicle, which was parked in the second  lane of the road, inside a work zone coned off for traffic control.  Coworker  #1, whose back was to the oncoming traffic, subsequently reported that he  thought he heard a vehicle entering the work zone.  He attempted to secure his  vehicle and prepare for impact.  In so doing, he inadvertently operated the  bucket controls, the boom swung, and the bucket struck Employee #1.  Employee  #1 was pinned between the bucket and the wall of the excavation.  Emergency  services were called, and Employee #1 was transported to the hospital.  He was  admitted and treated for a fractured pelvis."
10/09/2017,0521400,"At 10:00 a.m. on October 9, 2017, Employee #1, employed by a construction  company, was inserting a construction pig into a pipe.  The pig blew out from  the pipe and struck Employee #1.  Emergency services were called, and Employee  #1 was transported to the hospital.  He was admitted and treated for fractured  vertebrae and a fractured cheekbone."
09/02/2017,0625400,"At 4:30 a.m. on September 2, 2017, an employee was picking up waste wood to  clear the pipeline right of way.  The employee was struck and crushed by a  motor grader."
08/23/2017,0830300,"At 2:30 p.m. on August 23, 2017, an employee was removing heat exchanger bolts  when a flash fire broke out while a forklift was in a LEL condition.  The  employee suffered burns and was hospitalized."
08/18/2017,0626700,"At 3:30 p.m. on August 18, 2017, Employee #1, employed by a construction  welding company, was working at a multiemployer construction project.  He was  working from the basket of a JLG lift and helping disassemble a crane tower.  The crane jib from nearby equipment broke off and dropped parts onto the lift.  Employee #1, who was tied off with fall protection equipment, was thrown from  the lift and then pulled back.  He crashed onto the lift's floor, hitting the  floor with significant force.  Emergency services were called, and Employee #1  was transported to the hospital.  He was admitted and treated for multiple  fractures and damage to vertebrae."
08/16/2017,0524700,"At 8:30 a.m. on August 16, 2017, Employee #1, employed by a pipeline  construction company, was working at a job site.  He was operating a 90-pound  jackhammer and breaking up concrete when the jackhammer came into contact with  a 12,740-volt buried power line.  Employee #1 was burned in the ensuing arc  blast.  Emergency services were called, and Employee #1 was transported to the  hospital.  He was admitted and treated for second and third degree burns."
08/09/2017,0352440,"At 9:00 a.m. on August 9, 2017, Employee #1, employed by a construction  drilling company, was working at a multiemployer construction project for a  new gas pipeline.  He was lining up the couplings on the boring machine and  auger.  Employee #1 walked from the boring machine controls and around a  ladder to the spoil door.  The boring machine was running and the spoil  paddles were turning.  As Employee #1 looked into the spoil door to determine  whether the couplings were lining up, he fell, and his right foot was caught  in the rotating spoil paddles.  Emergency services were called, and Employee  #1 was transported to the hospital.  He was admitted and treated for the full  amputation of the first two toes on his right foot and the partial amputation  of the third toe."
08/08/2017,0830500,"At 9:30 a.m. on August 8, 2017, Employee #1, employed by a construction  company, was engaged in concrete work at a multiemployer construction project,  a sewer/water treatment plant.  While moving laterally and repositioning  himself on top of a steel and concrete form, Employee #1 slipped off the form  and fell to the concrete floor, a fall height of 16 feet.  Emergency services  were called, and Employee #1 was transported to the hospital, admitted, and  treated for fractures to his skull, hip, and wrist.  According to the  subsequent investigation, his retractable lanyard appears to have broken  during the process of arresting his fall."
07/28/2017,0830500,"At 8:45 a.m. on July 28, 2017, Employee #1, employed by a construction  company, and Coworker #1 were engaged in trenching work at a multiemployer  pipeline construction project.  Employee #1 was using a packing machine to  pack dirt.  Employee #1 was struck by the tracks of a backhoe operated by  Coworker #1.  The backhoe was operating in reverse, and Coworker #1 did not  have a visual of Employee #1.  Emergency services were called, and Employee #1  was transported to the hospital.  He was admitted and treated for a fractured  right leg and foot."
07/19/2017,0317700,"At 5:00 p.m. on July 19, 2017, Employee #1, employed by a pipeline  installation and services company, was working on a construction project at a  two-story power plant.  She was installing underground plumbing conduit when  she was struck by a falling pump flange.  Emergency services were called, and  Employee #1 was transported to the hospital.  She was admitted and treated for  work-related injuries."
06/20/2017,0522500,"At 9:30 p.m. on June 20, 2017, Employee #1, employed by a pipeline company,  was engaged in a pipeline installation.  He was standing on a skid stack when  the stack apparently shifted.  A pipe flange moved forward and onto Employee  #1's right foot.  Emergency services were called, and Employee #1 was  transported to the hospital.  He was admitted and treated for the amputation  of his foot."
05/17/2017,0522500,"At 1:45 p.m. on May 17, 2017, Employee #1, employed by a pipeline construction  company, was working at the site of a pipeline installation.  He was assisting  a welder who was joining two sections of pipe.  Feeling ill, Employee #1  reported to the on-site occupational health clinic complaining of heat stroke.  After receiving hydration, rest, and cooling, Employee #1 returned to work.  Employee #1 complained of face and arm numbness.  Emergency services were  called, and he was transported to the hospital.  Employee #1 was admitted and  treated for a heart attack."
