Report_ID,Event_Date,Age,Time,Nature,Establishment,Summary,Degree
636900,2001-04-13,,,Fracture,Patterson Drilling Company Lp,"Employee #1 and other employees were tripping out pipe on a rotary drilling rig. They were using breakout tongs and rotary power for the initial breakout of the tool joints. The crew had pulled out about eight stands of pipe using this method. During the next work cycle, a bolt securing the tong line pin to the lever broke. The snub line, connected to the end of the tongs, fell free allowing the tongs to spin with the pipe. The rotating tongs struck Employee #1, killing him.",Fatality
653510,2001-05-19,,,Fracture,Patterson Uti Drilling Company,Employee #1 was working on an oil rig while the rig was being dismantled (rigging down). Employee #1 exited the upper dog house onto the rig floor and was struck in the head by the Kelly hose that had come loose from the cross member of the derrick where it was secured. Employee #1 was killed.,Fatality
729700,2001-07-26,,,Electric Shock,Pratt  Well Service,"Three employees of a well service company were rigging down a workover rig. The rig's crown sheave contacted an overhead power line energized at 12,500 volts phase-to-phase, and the three employees received an electric shock. Employees #2 and #3 were hospitalized for their injuries, but Employee #1 was electrocuted.",Fatality
627400,2001-11-23,,,Concussion,Patterson-Uti Drilling Company,"Employee #1 had climbed to the monkeyboard of a drilling rig. He was wearing a full fall protection harness. While he was climbing, he had been hooked up to a climbing-assist apparatus manufactured by DBI. The monkeyboard was located approximately 85 feet from the floor. He was up there for 7 to 10 minutes, waiting for coworkers to send up the blocks. The blocks were sent up, and Employee #1 leaned out to put the pipe in the block. His coworkers noticed that he had not tied himself off to the fall protection cable or to the tail rope, which the employees had used for positioning. As Employee #1 tried to grab the pipe, he fell to his death still wearing his harness.",Fatality
830500,2001-12-20,,,Amputation,Cannon Oil & Gas,"On December 20, 2001, Employee #1 was in the process of closing a well prior to bleeding off the pressure. A gasket flew out, struck him, and he was hospitalized with an amputated right arm.",Hospitalized injury
950643,2002-06-01,,6.0,Burn(Chemical),Eott Energy Corp.,"At 6:08 a.m. on June 1, 2002, Employee #1, a heavy truck driver, was unloading a propane truck at the Eott Energy Corporation NCL Fractionator Loading Rack in Tupman, California. Employee #1 had hooked up the front vapor and liquid hose and the static line when he noticed vapor coming out of the back line. He walked to the back hose valve. When he operated the valve handle, propane came out of the hose and went up his pant leg. Employee #1 sustained propane burns to his groin and chest. Emergency personnel were called, and Employee #1 was airlifted to the Kern Medical Center in Bakersfield and then on to the Grossman Burn Center for treatment.",Hospitalized injury
729700,2002-07-08,,,Electric Shock,"Chito'S Well Service, Llc","On July 8, 2002, Employees #1, #2, and #3 were, rigging down the well service mast boom on a truck. Employees #1, #2, and #3 had just installed a new push rod on the oil well. As the vehicle mast was being lowered to the truck, the mast boom came with 10 ft of an overhead power line carrying 7200 volts. Employee #1 was controlling the steel cable lines at the rear of the truck, when the steel cable lines contacted the power line. Employee #1 was electrocuted. Employees #2 and #3 were operating the brake and clutch on the side of the truck suffered unknown injures. Employees #2 and #3 were taken to the hospital where they were treated released.",Fatality
950625,2002-07-12,,,Fracture,Pool Well Services Co,"On July 12, 2002, Employee #1, a truck driver, had unloaded a foam tank and was standing on a platform on the back of a truck and using a 1.5-inch water hose to wash out the tank. When the water was turned on to approximately 80 to 90 psi, he lost his balance and fell to the ground. He fell on the hose and fractured his left arm. He was transported to Kern Medical Center and was hospitalized with his injury.",Hospitalized injury
626300,2002-07-13,,,Burn/Scald(Heat),Q Production Services Dba Q V Services,Employee #1 was removing a hose from a pump when steam was released. The employee was burned by the steam and killed.,Fatality
855610,2002-08-06,,,Bruise/Contus/Abras,Central Valley Tongs,"On August 6, 2002, Employee #1 was running casing on an oil and gas well. He was working on the stabbing board, 40 ft above the rig floor, while a joint of pipe was being raised by the traveling blocks. The equipment attached below the traveling blocks snagged the stabbing board as the blocks came up, elevating it. Employee #1 became pinned and was crushed as the traveling blocks lifted the stabbing board. When the stabbing board finally dislodged from the blocks, Employee #1 fell approximately 20 ft, before his fall protection stopped his movement. He died of internal injuries sustained in the accident.",Fatality
626700,2002-08-07,,,Other,C & S Well Service,"On August 7, 2002, Employees #1 and #2 were on a crew that was pulling sucker rods at an oil well. The crew was pulling three, 25-ft sucker rods at a time and had pulled 9 sets of rods. Employee #1 was in the rod basket when, on the tenth pull, the derrick block and the derrick crown two-blocked and they came down together. The derrick rose up, the dead line cable snapped 15 ft 11 in. from the dead line connection, and the derrick block broke in two. When the block fell, it brought down the 9 sets of rods and Employee #1, who was in the rod basket. Half of the block fell and landed on Employee #2. Both men were killed. There was no limit switch on the crown, the derrick's right rear anchor was pulled completely out of the ground, and the other anchors were loose. There was also scratched paint and dented metal on the crown.",Fatality
